region,total_tCO2e,year,scope,country,group,group_label,population,per_capita_tCO2e,share_of_scope_total_percent
PT,6871112.785977352,2020,terrestrial_animal_products,Portugal,GN,Global North,10297081.0,0.6672874366995222,0.3347886591854845
RO,15632596.101215592,2020,terrestrial_animal_products,Romania,GN,Global North,19265250.0,0.8114400851904643,0.7616838860504553
RU,81660877.17910418,2020,terrestrial_animal_products,Russian Federation,GS,Global South (ex-China),145245148.0,0.5622279181339963,3.9788512327285397
SE,8119694.31707296,2020,terrestrial_animal_products,Sweden,GN,Global North,10353442.0,0.7842507174979064,0.39562464743069853
SI,1296994.3791163564,2020,terrestrial_animal_products,Slovenia,GN,Global North,2102419.0,0.6169057543317276,0.06319485979645599
SK,2180119.764745242,2020,terrestrial_animal_products,Slovak Republic,GN,Global North,5458827.0,0.3993751340251746,0.10622433303560086
TW,8713313.251864461,2020,terrestrial_animal_products,"Taiwan, China",GN,Global North,23561000.0,0.3698193307527041,0.424548184772648
US,338102285.13128406,2020,terrestrial_animal_products,United States,GN,Global North,331577720.0,1.0196773327571107,16.473723286518624
ZA,6236569.844874821,2020,terrestrial_animal_products,South Africa,GS,Global South (ex-China),60562381.0,0.10297761980122315,0.3038711372258864
AT,3370575.818691224,2020,core_livestock_meat_dairy,Austria,GN,Global North,8916864.0,0.378000137569803,0.16596599220111444
AU,29439680.201644156,2020,core_livestock_meat_dairy,Australia,GN,Global North,25649248.0,1.1477794671268395,1.4495997116144324
BE,8877734.978428656,2020,core_livestock_meat_dairy,Belgium,GN,Global North,11538604.0,0.7693941986767772,0.4371366120954268
BG,2152111.038751645,2020,core_livestock_meat_dairy,Bulgaria,GN,Global North,6550696.0,0.3285316611779336,0.10596920617916192
BR,328041463.4810188,2020,core_livestock_meat_dairy,Brazil,GS,Global South (ex-China),208660842.0,1.572127574760859,16.152648656594568
CA,37205438.249839105,2020,core_livestock_meat_dairy,Canada,GN,Global North,38028638.0,0.9783531624203609,1.8319829627240065
CH,2547887.179158362,2020,core_livestock_meat_dairy,Switzerland,GN,Global North,8638167.0,0.2949569253706674,0.12545708699402924
CN,571596633.3769704,2020,core_livestock_meat_dairy,China,CN,China,1411100000.0,0.4050716698865923,28.145221321281934
CY,821636.6731209935,2020,core_livestock_meat_dairy,Cyprus,GN,Global North,1302247.0,0.6309376586169855,0.04045710674335097
CZ,9278313.151931869,2020,core_livestock_meat_dairy,Czechia,GN,Global North,10697858.0,0.8673056935259253,0.4568609433657394
DE,51909001.943702094,2020,core_livestock_meat_dairy,Germany,GN,Global North,83160871.0,0.6241998348442274,2.5559813738595274
DK,2110826.9502254073,2020,core_livestock_meat_dairy,Denmark,GN,Global North,5831404.0,0.36197576951029414,0.10393639188185999
EE,1159380.5766639507,2020,core_livestock_meat_dairy,Estonia,GN,Global North,1329522.0,0.8720281248929695,0.05708750020625484
ES,18387291.730894394,2020,core_livestock_meat_dairy,Spain,GN,Global North,47359424.0,0.3882499020869509,0.9053839106916098
FI,2810780.794985507,2020,core_livestock_meat_dairy,Finland,GN,Global North,5529543.0,0.5083206324619426,0.13840187807457302
FR,52404119.46173549,2020,core_livestock_meat_dairy,France,GN,Global North,67601110.0,0.7751961389648112,2.580360789887164
GB,45432017.29940192,2020,core_livestock_meat_dairy,United Kingdom,GN,Global North,66744000.0,0.680690658327369,2.237056881195226
GR,6409207.6624360485,2020,core_livestock_meat_dairy,Greece,GN,Global North,10698599.0,0.5990698092746581,0.31558717742543385
HR,2042262.2015281438,2020,core_livestock_meat_dairy,Croatia,GN,Global North,3914206.0,0.5217564434595787,0.10056028727550227
HU,3234758.657818047,2020,core_livestock_meat_dairy,Hungary,GN,Global North,9670419.0,0.3345003621681798,0.15927840198663062
ID,66918679.74481177,2020,core_livestock_meat_dairy,Indonesia,GS,Global South (ex-China),274814866.0,0.24350458444563103,3.2950527381843
IE,8086188.828815636,2020,core_livestock_meat_dairy,Ireland,GN,Global North,5039747.0,1.604483087904142,0.3981611523638885
IN,137146438.250325,2020,core_livestock_meat_dairy,India,GS,Global South (ex-China),1402617695.0,0.09777891633566266,6.753043374619083
IT,34893909.76122274,2020,core_livestock_meat_dairy,Italy,GN,Global North,59438851.0,0.587055590311171,1.7181640962303517
JP,34194172.77648106,2020,core_livestock_meat_dairy,Japan,GN,Global North,126261000.0,0.270821336568545,1.6837092881502407
KR,18315901.32767097,2020,core_livestock_meat_dairy,"Korea, Rep.",GN,Global North,51836239.0,0.35334163282314845,0.9018686718297783
LT,3682974.7201603944,2020,core_livestock_meat_dairy,Lithuania,GN,Global North,2810369.0,1.3104950702773885,0.1813484064928663
LU,105257.75700466208,2020,core_livestock_meat_dairy,Luxembourg,GN,Global North,630419.0,0.16696475995276489,0.005182855695240151
LV,1217255.6669918606,2020,core_livestock_meat_dairy,Latvia,GN,Global North,1900449.0,0.6405095148524694,0.05993724971692757
MT,173559.04301147605,2020,core_livestock_meat_dairy,Malta,GN,Global North,515490.0,0.3366875070544066,0.008545987489478966
MX,46766204.03489453,2020,core_livestock_meat_dairy,Mexico,GS,Global South (ex-China),126799054.0,0.3688213954253518,2.302751776444186
NL,15487399.845385943,2020,core_livestock_meat_dairy,Netherlands,GN,Global North,17441500.0,0.8879626090293806,0.7625942332170796
NO,3219338.229716524,2020,core_livestock_meat_dairy,Norway,GN,Global North,5379475.0,0.5984484042990299,0.15851910541901063
PL,19892779.131917477,2020,core_livestock_meat_dairy,Poland,GN,Global North,37515748.0,0.5302514328627401,0.97951359170086
PT,6859638.008231835,2020,core_livestock_meat_dairy,Portugal,GN,Global North,10297081.0,0.666173064796891,0.3377662124861304
RO,15611376.652023269,2020,core_livestock_meat_dairy,Romania,GN,Global North,19265250.0,0.8103386487080764,0.768698808467809
RU,81568346.25344734,2020,core_livestock_meat_dairy,Russian Federation,GS,Global South (ex-China),145245148.0,0.5615908508933278,4.016397270485969
